capture,tilt_up_deg,position_p95_m,final_error_m,endpoint_scale,path_scale,velocity_direction_p95_deg,heading_p95_deg,tilt_attitude_p95_deg
04,20,1.519,1.783,0.993,1.015,2.04,0.81,1.21
04,20.5,2.617,2.846,0.990,1.012,2.45,0.90,1.12
04,20.8,2.409,2.446,1.000,1.021,2.01,1.27,0.99
05,20,34.095,38.747,1.237,1.588,28.16,7.37,5.50
05,20.5,14.924,3.921,1.016,1.330,26.80,5.17,4.51
05,20.8,14.042,9.502,0.945,1.195,20.97,3.08,4.07
06,20,20.821,20.578,1.122,1.215,6.60,2.49,2.39
06,20.5,6.240,6.813,1.023,1.113,4.85,2.43,2.25
06,20.8,4.779,5.682,0.997,1.092,5.00,2.62,2.22
